[INFO](2026-06-06 00:34:57.391)	 PM3:PM3:start command(from ): Update[]
[INFO](2026-06-06 00:34:57.427)	 PM4:PM4:start command(from ): Update[]
[INFO](2026-06-06 00:34:57.430)	 EALIGNER:EALIGNER:start command(from ): Update[]
[INFO](2026-06-06 00:34:57.434)	 WTR:Rcv_Format_: ACK:SERVOS/1;
[INFO](2026-06-06 00:34:57.440)	 WTR:Snd: SET:SERVOS/1; 
[INFO](2026-06-06 00:34:57.755)	 pipe_vacuum:100000.000000
[ERROR](2026-06-06 00:34:57.971)	 PM3:PM3: error:[T=0,C=0x2]地址: 获取状态地址未定义.
[ERROR](2026-06-06 00:34:58.069)	 PM4:PM4: error:[T=0,C=0x2]地址: 获取状态地址未定义.
[INFO](2026-06-06 00:34:58.072)	 EFEMClient:S GET:STATE/ALIGNER;( 47 45 54 3a 53 54 41 54 45 2f 41 4c 49 47 4e 45 52 3b )
[INFO](2026-06-06 00:34:58.075)	 WTR:Rcv_Format_: RPS:SERVOS;
[INFO](2026-06-06 00:34:58.077)	 WTR:机械手上使能命令开始.
[INFO](2026-06-06 00:34:58.083)	 EFEMClient:RS NAK:STATE/ALIGNER|ERROR/EFEM/0/57345;( 4e 41 4b 3a 53 54 41 54 45 2f 41 4c 49 47 4e 45 52 7c 45 52 52 4f 52 2f 45 46 45 4d 2f 30 2f 35 37 33 34 35 3b 0d )
[INFO](2026-06-06 00:34:58.582)	 WTR:messageQueue pop[Update-Servos]: ACK:SERVOS/1; 
[INFO](2026-06-06 00:34:58.599)	 WTR:messageQueue pop[Update-Servos-RPS]: RPS:SERVOS; 
[INFO](2026-06-06 00:34:58.663)	 WTR:Snd: ACK; 
[INFO](2026-06-06 00:34:58.684)	 WTR:机械手上使能命令执行结束.
[INFO](2026-06-06 00:34:58.737)	 WTR:Rcv_Format_: ACK:LOAD/A;
[INFO](2026-06-06 00:34:58.750)	 WTR:Snd: QRY:LOAD/A; 
[INFO](2026-06-06 00:34:58.824)	 WTR:Rcv_Format_: RPS:LOAD/OFF;
[INFO](2026-06-06 00:34:58.828)	 WTR:messageQueue pop[Update-Load-A]: ACK:LOAD/A; 
[INFO](2026-06-06 00:34:58.833)	 WTR:res：ACK:LOAD/A;
[INFO](2026-06-06 00:34:58.843)	 WTR:messageQueue pop[Update-Load-A-RPS]: RPS:LOAD/OFF; 
[INFO](2026-06-06 00:34:58.861)	 WTR:查询A机械手有无片子RPS：RPS:LOAD/OFF;
[INFO](2026-06-06 00:34:58.892)	 WTR:arm_id:0, ishasWafer:noHas
[INFO](2026-06-06 00:34:58.919)	 WTR:Rcv_Format_: ACK:LOAD/B;
[INFO](2026-06-06 00:34:58.946)	 WTR:Snd: QRY:LOAD/B; 
[INFO](2026-06-06 00:34:58.950)	 WTR:messageQueue pop[Update-Load-B]: ACK:LOAD/B; 
[INFO](2026-06-06 00:34:58.962)	 WTR:res：ACK:LOAD/B;
[INFO](2026-06-06 00:34:58.978)	 WTR:Rcv_Format_: RPS:LOAD/OFF;
[INFO](2026-06-06 00:34:58.987)	 WTR:messageQueue pop[Update-Load-B-RPS]: RPS:LOAD/OFF; 
[INFO](2026-06-06 00:34:59.001)	 WTR:查询B机械手有无片子RPS：RPS:LOAD/OFF;
[INFO](2026-06-06 00:34:59.026)	 WTR:arm_id:1, ishasWafer:noHas
[INFO](2026-06-06 00:34:59.282)	 LLB_vacuum:100000.000000
[INFO](2026-06-06 00:34:59.329)	 LLA_vacuum:100000.000000
[INFO](2026-06-06 00:34:59.842)	 TM_vacuum:100000.000000
[INFO](2026-06-06 00:34:59.855)	 pipe_vacuum:100000.000000
[INFO](2026-06-06 00:35:00.031)	 EFEMClient:RS INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:01.362)	 LLB_vacuum:100000.000000
[INFO](2026-06-06 00:35:01.409)	 LLA_vacuum:100000.000000
[INFO](2026-06-06 00:35:01.937)	 TM_vacuum:100000.000000
[INFO](2026-06-06 00:35:01.947)	 pipe_vacuum:100000.000000
[INFO](2026-06-06 00:35:03.052)	 EFEMClient:RS INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:03.430)	 LLB_vacuum:100000.000000
[INFO](2026-06-06 00:35:03.491)	 LLA_vacuum:100000.000000
[INFO](2026-06-06 00:35:04.019)	 TM_vacuum:100000.000000
[INFO](2026-06-06 00:35:04.021)	 pipe_vacuum:100000.000000
[INFO](2026-06-06 00:35:05.508)	 LLB_vacuum:100000.000000
[INFO](2026-06-06 00:35:05.566)	 LLA_vacuum:100000.000000
[INFO](2026-06-06 00:35:06.093)	 EFEMClient:RS INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:06.099)	 TM_vacuum:100000.000000
[INFO](2026-06-06 00:35:06.113)	 pipe_vacuum:100000.000000
[INFO](2026-06-06 00:35:06.945)	 LLA:LLA 设置真空上限值：10.000000, 抽真空设定值：10.000000
[INFO](2026-06-06 00:35:06.972)	 LLA:LLA 设置快充隔膜阀真空设定值：31000.000000, 快抽角阀真空设定值：31000.000000
[INFO](2026-06-06 00:35:06.983)	 LLA:LLA 设置粗抽完成真空设定值：10.000000
[INFO](2026-06-06 00:35:07.020)	 LLB:LLB 设置真空上限值：10.000000, 抽真空设定值：10.000000
[INFO](2026-06-06 00:35:07.029)	 LLB:LLB 设置快充隔膜阀真空设定值：31000.000000, 快抽角阀真空设定值：31000.000000
[INFO](2026-06-06 00:35:07.035)	 LLB:LLB 设置粗抽完成真空设定值：10.000000
[INFO](2026-06-06 00:35:07.050)	 TM:TM 设置真空上限值：10.000000, 抽真空设定值：10.000000
[INFO](2026-06-06 00:35:07.058)	 TM:TM 设置粗抽完成真空设定值：10.000000
[INFO](2026-06-06 00:35:07.283)	 EFEMClient:R INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:07.304)	 EFEMClient:onDataRecv singleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.310)	 EFEMClient:onDataRecv body=READY/COMM
[INFO](2026-06-06 00:35:07.314)	 EFEMClient:S ACK:READY/COMM;( 41 43 4b 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b )
[INFO](2026-06-06 00:35:07.324)	 EFEMClient:sendACK processSingleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.349)	 ELP1:ELP1:start command(from ): Update[]
[INFO](2026-06-06 00:35:07.399)	 EFEMClient:R NAK:STATE/ALIGNER|ERROR/EFEM/0/57345;( 4e 41 4b 3a 53 54 41 54 45 2f 41 4c 49 47 4e 45 52 7c 45 52 52 4f 52 2f 45 46 45 4d 2f 30 2f 35 37 33 34 35 3b 0d )
[INFO](2026-06-06 00:35:07.411)	 EFEMClient:S GET:STATE/LP1;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:07.422)	 EFEMClient:onDataRecv singleMessage=NAK:STATE/ALIGNER|ERROR/EFEM/0/57345
[INFO](2026-06-06 00:35:07.434)	 EFEMClient:onDataRecv body=STATE/ALIGNER|ERROR/EFEM/0/57345
[INFO](2026-06-06 00:35:07.453)	 EFEMClient:RS ACK:STATE/LP1;INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:07.492)	 EFEMClient:10 processSingleMessage=NAK:STATE/ALIGNER|ERROR/EFEM/0/57345
[INFO](2026-06-06 00:35:07.497)	 EALIGNER:ERROR NAK
[INFO](2026-06-06 00:35:07.504)	 EALIGNER:获取寻边器晶圆状态 EALIGNER 命令执行结束.
[INFO](2026-06-06 00:35:07.640)	 EFEMClient:R INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:07.643)	 LLB_vacuum:100823.150391
[INFO](2026-06-06 00:35:07.645)	 LLA_vacuum:1.084900
[INFO](2026-06-06 00:35:07.648)	 EFEMClient:onDataRecv singleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.703)	 EFEMClient:onDataRecv body=READY/COMM
[INFO](2026-06-06 00:35:07.775)	 EFEMClient:S ACK:READY/COMM;( 41 43 4b 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b )
[INFO](2026-06-06 00:35:07.780)	 EFEMClient:sendACK processSingleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.794)	 ELP1:ELP1:start command(from ): Update[]
[INFO](2026-06-06 00:35:07.814)	 EFEMClient:R INF:READY/COMM;( 49 4e 46 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b 0d )
[INFO](2026-06-06 00:35:07.840)	 EFEMClient:S GET:STATE/LP1;( 47 45 54 3a 53 54 41 54 45 2f 4c 50 31 3b )
[INFO](2026-06-06 00:35:07.847)	 EFEMClient:onDataRecv singleMessage=INF:READY/COMM
[INFO](2026-06-06 00:35:07.852)	 EFEMClient:onDataRecv body=READY/COMM
[INFO](2026-06-06 00:35:07.886)	 EFEMClient:RS ACK:STATE/LP1;INF:STATE/LP1/NORMAL/IDLE/PRESENT/CLOSED/UNLOCKED;( 41 43 4b 3a 53 54 41 54 45 2f 4c 50 31 3b 0d 49 4e 46 3a 53 54 41 54 45 2f 4c 50 31 2f 4e 4f 52 4d 41 4c 2f 49 44 4c 45 2f 50 52 45 53 45 4e 54 2f 43 4c 4f 53 45 44 2f 55 4e 4c 4f 43 4b 45 44 3b 0d )
[INFO](2026-06-06 00:35:07.895)	 EFEMClient:S ACK:READY/COMM;( 41 43 4b 3a 52 45 41 44 59 2f 43 4f 4d 4d 3b )
